Format,1.0B,
Memory Length,5000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,0.000E+00,
Source,FFT rms,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,0.00E+00,
Horizontal Units,Hz,
Horizontal Scale,25MHz,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-09,
Horizontal Old Scale,25MHz,
Horizontal Old Position,1000,
Firmware,V1.31,
Mode,Detail,
Waveform Data,
2.380000e+07,0.00e+00,
2.385000e+07,0.00e+00,
2.390000e+07,0.00e+00,
2.395000e+07,0.00e+00,
2.400000e+07,0.00e+00,
2.405000e+07,0.00e+00,
2.410000e+07,0.00e+00,
2.415000e+07,0.00e+00,
2.420000e+07,0.00e+00,
2.425000e+07,0.00e+00,
2.430000e+07,0.00e+00,
2.435000e+07,0.00e+00,
2.440000e+07,0.00e+00,
2.445000e+07,0.00e+00,
2.450000e+07,0.00e+00,
2.455000e+07,0.00e+00,
2.460000e+07,0.00e+00,
2.465000e+07,0.00e+00,
2.470000e+07,0.00e+00,
2.475000e+07,0.00e+00,
2.480000e+07,0.00e+00,
2.485000e+07,0.00e+00,
2.490000e+07,0.00e+00,
2.495000e+07,0.00e+00,
2.500000e+07,0.00e+00,
2.505000e+07,0.00e+00,
2.510000e+07,0.00e+00,
2.515000e+07,0.00e+00,
2.520000e+07,0.00e+00,
2.525000e+07,0.00e+00,
2.530000e+07,0.00e+00,
2.535000e+07,0.00e+00,
2.540000e+07,0.00e+00,
2.545000e+07,0.00e+00,
2.550000e+07,0.00e+00,
2.555000e+07,0.00e+00,
2.560000e+07,0.00e+00,
2.565000e+07,0.00e+00,
2.570000e+07,0.00e+00,
2.575000e+07,0.00e+00,
2.580000e+07,0.00e+00,
2.585000e+07,0.00e+00,
2.590000e+07,0.00e+00,
2.595000e+07,0.00e+00,
2.600000e+07,0.00e+00,
2.605000e+07,0.00e+00,
2.610000e+07,0.00e+00,
2.615000e+07,0.00e+00,
2.620000e+07,0.00e+00,
2.625000e+07,0.00e+00,
2.630000e+07,0.00e+00,
2.635000e+07,0.00e+00,
2.640000e+07,0.00e+00,
2.645000e+07,0.00e+00,
2.650000e+07,0.00e+00,
2.655000e+07,0.00e+00,
2.660000e+07,0.00e+00,
2.665000e+07,0.00e+00,
2.670000e+07,0.00e+00,
2.675000e+07,0.00e+00,
2.680000e+07,0.00e+00,
2.685000e+07,0.00e+00,
2.690000e+07,0.00e+00,
2.695000e+07,0.00e+00,
2.700000e+07,0.00e+00,
2.705000e+07,0.00e+00,
2.710000e+07,0.00e+00,
2.715000e+07,0.00e+00,
2.720000e+07,0.00e+00,
2.725000e+07,0.00e+00,
2.730000e+07,0.00e+00,
2.735000e+07,0.00e+00,
2.740000e+07,0.00e+00,
2.745000e+07,0.00e+00,
2.750000e+07,0.00e+00,
2.755000e+07,0.00e+00,
2.760000e+07,0.00e+00,
2.765000e+07,0.00e+00,
2.770000e+07,0.00e+00,
2.775000e+07,0.00e+00,
2.780000e+07,0.00e+00,
2.785000e+07,0.00e+00,
2.790000e+07,0.00e+00,
2.795000e+07,0.00e+00,
2.800000e+07,0.00e+00,
2.805000e+07,0.00e+00,
2.810000e+07,0.00e+00,
2.815000e+07,0.00e+00,
2.820000e+07,0.00e+00,
2.825000e+07,0.00e+00,
2.830000e+07,0.00e+00,
2.835000e+07,0.00e+00,
2.840000e+07,0.00e+00,
2.845000e+07,0.00e+00,
2.850000e+07,0.00e+00,
2.855000e+07,0.00e+00,
2.860000e+07,0.00e+00,
2.865000e+07,0.00e+00,
2.870000e+07,0.00e+00,
2.875000e+07,0.00e+00,
2.880000e+07,0.00e+00,
2.885000e+07,0.00e+00,
2.890000e+07,0.00e+00,
2.895000e+07,0.00e+00,
2.900000e+07,0.00e+00,
2.905000e+07,0.00e+00,
2.910000e+07,0.00e+00,
2.915000e+07,0.00e+00,
2.920000e+07,0.00e+00,
2.925000e+07,0.00e+00,
2.930000e+07,0.00e+00,
2.935000e+07,0.00e+00,
2.940000e+07,0.00e+00,
2.945000e+07,0.00e+00,
2.950000e+07,0.00e+00,
2.955000e+07,0.00e+00,
2.960000e+07,0.00e+00,
2.965000e+07,0.00e+00,
2.970000e+07,0.00e+00,
2.975000e+07,0.00e+00,
2.980000e+07,0.00e+00,
2.985000e+07,0.00e+00,
2.990000e+07,0.00e+00,
2.995000e+07,0.00e+00,
3.000000e+07,0.00e+00,
3.005000e+07,0.00e+00,
3.010000e+07,0.00e+00,
3.015000e+07,0.00e+00,
3.020000e+07,0.00e+00,
3.025000e+07,0.00e+00,
3.030000e+07,0.00e+00,
3.035000e+07,0.00e+00,
3.040000e+07,0.00e+00,
3.045000e+07,0.00e+00,
3.050000e+07,0.00e+00,
3.055000e+07,0.00e+00,
3.060000e+07,0.00e+00,
3.065000e+07,0.00e+00,
3.070000e+07,0.00e+00,
3.075000e+07,0.00e+00,
3.080000e+07,0.00e+00,
3.085000e+07,0.00e+00,
3.090000e+07,0.00e+00,
3.095000e+07,0.00e+00,
3.100000e+07,0.00e+00,
3.105000e+07,0.00e+00,
3.110000e+07,0.00e+00,
3.115000e+07,0.00e+00,
3.120000e+07,0.00e+00,
3.125000e+07,0.00e+00,
3.130000e+07,0.00e+00,
3.135000e+07,0.00e+00,
3.140000e+07,0.00e+00,
3.145000e+07,0.00e+00,
3.150000e+07,0.00e+00,
3.155000e+07,0.00e+00,
3.160000e+07,0.00e+00,
3.165000e+07,0.00e+00,
3.170000e+07,0.00e+00,
3.175000e+07,0.00e+00,
3.180000e+07,0.00e+00,
3.185000e+07,0.00e+00,
3.190000e+07,0.00e+00,
3.195000e+07,0.00e+00,
3.200000e+07,0.00e+00,
3.205000e+07,0.00e+00,
3.210000e+07,0.00e+00,
3.215000e+07,0.00e+00,
3.220000e+07,0.00e+00,
3.225000e+07,0.00e+00,
3.230000e+07,0.00e+00,
3.235000e+07,0.00e+00,
3.240000e+07,0.00e+00,
3.245000e+07,0.00e+00,
3.250000e+07,0.00e+00,
3.255000e+07,0.00e+00,
